symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2017-03-30 00:00:00+00:00,65.71,65.98,65.36,65.42,15122823,61.5763539975,61.8293689964,61.2483715915,61.3045971468,15122823,0.0,1.0
MSFT,2017-03-31 00:00:00+00:00,65.86,66.19,65.45,65.65,21040331,61.7169178858,62.02615844,61.3327099244,61.5201284422,21040331,0.0,1.0
MSFT,2017-04-03 00:00:00+00:00,65.55,65.94,65.19,65.81,20400871,61.4264191833,61.7918852929,61.0890658514,61.6700632563,20400871,0.0,1.0
MSFT,2017-04-04 00:00:00+00:00,65.73,65.81,65.28,65.39,12997449,61.5950958493,61.6700632563,61.1734041844,61.2764843691,12997449,0.0,1.0
MSFT,2017-04-05 00:00:00+00:00,65.56,66.35,65.4443,66.3,21448594,61.4357901092,62.1760932542,61.3273684967,62.1292386248,21448594,0.0,1.0
MSFT,2017-04-06 00:00:00+00:00,65.73,66.055,65.48,65.6,18103453,61.5950958493,61.8996509405,61.3608227021,61.4732738127,18103453,0.0,1.0
MSFT,2017-04-07 00:00:00+00:00,65.68,65.96,65.44,65.85,14089274,61.5482412198,61.8106271446,61.3233389986,61.7075469599,14089274,0.0,1.0
MSFT,2017-04-10 00:00:00+00:00,65.53,65.82,65.36,65.61,17952742,61.4076773315,61.6794341822,61.2483715915,61.4826447386,17952742,0.0,1.0
MSFT,2017-04-11 00:00:00+00:00,65.48,65.61,64.85,65.6,18791533,61.3608227021,61.4826447386,60.7704543713,61.4732738127,18791533,0.0,1.0
MSFT,2017-04-12 00:00:00+00:00,65.23,65.51,65.11,65.42,17108513,61.1265495549,61.3889354798,61.0140984443,61.3045971468,17108513,0.0,1.0
MSFT,2017-04-13 00:00:00+00:00,64.95,65.86,64.95,65.29,17896483,60.8641636301,61.7169178858,60.8641636301,61.1827751103,17896483,0.0,1.0
MSFT,2017-04-17 00:00:00+00:00,65.48,65.49,65.01,65.04,16689265,61.3608227021,61.370193628,60.9203891855,60.9485019631,16689265,0.0,1.0
MSFT,2017-04-18 00:00:00+00:00,65.39,65.71,65.16,65.33,15155611,61.2764843691,61.5763539975,61.0609530737,61.2202588138,15155611,0.0,1.0
MSFT,2017-04-19 00:00:00+00:00,65.04,65.75,64.89,65.65,26992771,60.9485019631,61.613837701,60.8079380748,61.5201284422,26992771,0.0,1.0
MSFT,2017-04-20 00:00:00+00:00,65.5,65.75,65.14,65.46,22299477,61.3795645539,61.613837701,61.042211222,61.3420808503,22299477,0.0,1.0
MSFT,2017-04-21 00:00:00+00:00,66.4,66.7,65.45,65.67,32522645,62.2229478836,62.5040756602,61.3327099244,61.5388702939,32522645,0.0,1.0
MSFT,2017-04-24 00:00:00+00:00,67.53,67.66,67.1,67.48,29721254,63.2818625087,63.4036845453,62.8789126956,63.2350078793,29721254,0.0,1.0
MSFT,2017-04-25 00:00:00+00:00,67.92,68.04,67.6,67.9,29983174,63.6473286183,63.7597797289,63.34745899,63.6285867665,29983174,0.0,1.0
MSFT,2017-04-26 00:00:00+00:00,67.83,68.31,67.62,68.08,25544417,63.5629902853,64.0127947279,63.3662008417,63.7972634325,25544417,0.0,1.0
MSFT,2017-04-27 00:00:00+00:00,68.27,68.38,67.58,68.15,32219234,63.9753110243,64.0783912091,63.3287171382,63.8628599137,32219234,0.0,1.0
MSFT,2017-04-28 00:00:00+00:00,68.46,69.14,67.69,68.91,38940853,64.1533586162,64.7905815764,63.4317973229,64.575050281,38940853,0.0,1.0
MSFT,2017-05-01 00:00:00+00:00,69.41,69.55,68.5,68.68,31304672,65.0435965753,65.1747895377,64.1908423197,64.3595189856,31304672,0.0,1.0
MSFT,2017-05-02 00:00:00+00:00,69.3,69.71,69.13,69.71,23000828,64.9405163906,65.3247243519,64.7812106505,65.3247243519,23000828,0.0,1.0
MSFT,2017-05-03 00:00:00+00:00,69.08,69.38,68.71,69.38,28725646,64.7343560211,65.0154837977,64.3876317633,65.0154837977,28725646,0.0,1.0
MSFT,2017-05-04 00:00:00+00:00,68.81,69.08,68.64,69.03,21421413,64.4813410222,64.7343560211,64.3220352821,64.6875013917,21421413,0.0,1.0
MSFT,2017-05-05 00:00:00+00:00,69.0,69.03,68.485,68.9,18882845,64.659388614,64.6875013917,64.1767859309,64.5656793551,18882845,0.0,1.0
MSFT,2017-05-08 00:00:00+00:00,68.94,69.05,68.42,68.97,18446053,64.6031630587,64.7062432434,64.1158749126,64.6312758363,18446053,0.0,1.0
MSFT,2017-05-09 00:00:00+00:00,69.04,69.28,68.68,68.86,22318181,64.6968723175,64.9217745388,64.3595189856,64.5281956516,22318181,0.0,1.0
MSFT,2017-05-10 00:00:00+00:00,69.31,69.56,68.92,68.99,17842038,64.9498873165,65.1841604636,64.5844212069,64.6500176881,17842038,0.0,1.0
MSFT,2017-05-11 00:00:00+00:00,68.46,68.73,68.12,68.36,27985424,64.1533586162,64.4063736151,63.834747136,64.0596493573,27985424,0.0,1.0
